aspect_key,body_a,body_b,aspect_type,coverage_state,tier_1_candidate,tier_2_candidate,notes
SUN_MOON_CONJUNCTION,SUN,MOON,conjunction,covered,true,false,
SUN_MOON_SEXTILE,SUN,MOON,sextile,covered,true,false,
SUN_MOON_SQUARE,SUN,MOON,square,covered,true,false,
SUN_MOON_TRINE,SUN,MOON,trine,covered,true,false,
SUN_MOON_OPPOSITION,SUN,MOON,opposition,covered,true,false,
SUN_MERCURY_CONJUNCTION,SUN,MERCURY,conjunction,uncovered,true,false,tier_1_proxy_scope_library_gap_v2
SUN_MERCURY_SEXTILE,SUN,MERCURY,sextile,uncovered,true,false,tier_1_proxy_scope_library_gap_v2
SUN_MERCURY_SQUARE,SUN,MERCURY,square,uncovered,true,false,tier_1_proxy_scope_library_gap_v2
SUN_MERCURY_TRINE,SUN,MERCURY,trine,uncovered,true,false,tier_1_proxy_scope_library_gap_v2
SUN_MERCURY_OPPOSITION,SUN,MERCURY,opposition,uncovered,true,false,tier_1_proxy_scope_library_gap_v2
SUN_VENUS_CONJUNCTION,SUN,VENUS,conjunction,covered,true,false,
SUN_VENUS_SEXTILE,SUN,VENUS,sextile,covered,true,false,
SUN_VENUS_SQUARE,SUN,VENUS,square,covered,true,false,
SUN_VENUS_TRINE,SUN,VENUS,trine,covered,true,false,
SUN_VENUS_OPPOSITION,SUN,VENUS,opposition,covered,true,false,
SUN_MARS_CONJUNCTION,SUN,MARS,conjunction,covered,true,false,
SUN_MARS_SEXTILE,SUN,MARS,sextile,covered,true,false,
SUN_MARS_SQUARE,SUN,MARS,square,covered,true,false,
SUN_MARS_TRINE,SUN,MARS,trine,covered,true,false,
SUN_MARS_OPPOSITION,SUN,MARS,opposition,covered,true,false,
JUPITER_SUN_CONJUNCTION,JUPITER,SUN,conjunction,covered,true,false,
JUPITER_SUN_SEXTILE,JUPITER,SUN,sextile,covered,true,false,
JUPITER_SUN_SQUARE,JUPITER,SUN,square,covered,true,false,
JUPITER_SUN_TRINE,JUPITER,SUN,trine,covered,true,false,
JUPITER_SUN_OPPOSITION,JUPITER,SUN,opposition,covered,false,true,
SATURN_SUN_CONJUNCTION,SATURN,SUN,conjunction,covered,false,true,
SATURN_SUN_SEXTILE,SATURN,SUN,sextile,covered,false,true,
